순번,연도,관할기관,이름,소속,직위,재산 대분류,종전가액,증가액,감소액,현재가액,,
75,2016,국회공직자윤리위원회,강은희,국회,국회의원,건물,"649,100","80,000","154,000","575,100",,
76,2016,국회공직자윤리위원회,강은희,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"35,994",0,"19,008","16,986",,
77,2016,국회공직자윤리위원회,강은희,국회,국회의원,예금,"604,621","126,564","150,178","581,007",,
78,2016,국회공직자윤리위원회,강은희,국회,국회의원,유가증권,"934,875",0,0,"934,875",,
79,2016,국회공직자윤리위원회,강은희,국회,국회의원,채무,"-193,011","-296,150","-193,011","-296,150",,
80,2016,국회공직자윤리위원회,강은희,국회,국회의원,회원권,0,"36,000",0,"36,000",,
81,2016,국회공직자윤리위원회,강은희,국회,국회의원,총계,"2,031,579","-53,586","130,175","1,847,818",,
82,2016,국회공직자윤리위원회,강창일,국회,국회의원,토지,"1,489",254,0,"1,743",,
83,2016,국회공직자윤리위원회,강창일,국회,국회의원,건물,"1,258,903","146,031","4,465","1,400,469",,
84,2016,국회공직자윤리위원회,강창일,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"12,000",0,0,"12,000",,
85,2016,국회공직자윤리위원회,강창일,국회,국회의원,현금,"20,000",0,0,"20,000",,
86,2016,국회공직자윤리위원회,강창일,국회,국회의원,예금,"500,116","359,116","179,008","680,224",,
87,2016,국회공직자윤리위원회,강창일,국회,국회의원,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,0,"11,644",0,"11,644",,
88,2016,국회공직자윤리위원회,강창일,국회,국회의원,유가증권,709,0,91,618,,
89,2016,국회공직자윤리위원회,강창일,국회,국회의원,채무,"-475,101","-50,000","-16,785","-508,316",,
90,2016,국회공직자윤리위원회,강창일,국회,국회의원,고지거부 및 등록제외사항,"22,325",0,"22,325",0,,
91,2016,국회공직자윤리위원회,강창일,국회,국회의원,총계,"1,340,441","467,045","189,104","1,618,382",,
92,2016,국회공직자윤리위원회,강창희,국회,국회의원,토지,"116,941","156,412",0,"273,353",,
93,2016,국회공직자윤리위원회,강창희,국회,국회의원,건물,"1,073,928","18,089",0,"1,092,017",,
94,2016,국회공직자윤리위원회,강창희,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"82,490",0,"9,840","72,650",,
95,2016,국회공직자윤리위원회,강창희,국회,국회의원,예금,"1,546,287","270,511","244,655","1,572,143",,
96,2016,국회공직자윤리위원회,강창희,국회,국회의원,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,0,"27,495",0,"27,495",,
97,2016,국회공직자윤리위원회,강창희,국회,국회의원,유가증권,"58,248","39,183","47,858","49,573",,
98,2016,국회공직자윤리위원회,강창희,국회,국회의원,채무,"-218,770","-45,926","-164,269","-100,427",,
99,2016,국회공직자윤리위원회,강창희,국회,국회의원,회원권,"80,550",0,0,"80,550",,
100,2016,국회공직자윤리위원회,강창희,국회,국회의원,고지거부 및 등록제외사항,0,0,0,0,,
101,2016,국회공직자윤리위원회,강창희,국회,국회의원,총계,"2,739,674","465,764","138,084","3,067,354",,
102,2016,국회공직자윤리위원회,경대수,국회,국회의원,토지,"154,796",125,0,"154,921",,
103,2016,국회공직자윤리위원회,경대수,국회,국회의원,건물,"1,246,000","64,000",0,"1,310,000",,
104,2016,국회공직자윤리위원회,경대수,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"40,204",0,"17,210","22,994",,
105,2016,국회공직자윤리위원회,경대수,국회,국회의원,예금,"667,605","64,223","137,789","594,039",,
106,2016,국회공직자윤리위원회,경대수,국회,국회의원,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,0,"78,721",0,"78,721",,
107,2016,국회공직자윤리위원회,경대수,국회,국회의원,유가증권,"3,118",0,196,"2,922",,
108,2016,국회공직자윤리위원회,경대수,국회,국회의원,채권,"100,000",0,"100,000",0,,
109,2016,국회공직자윤리위원회,경대수,국회,국회의원,채무,"-1,450,724","-761,858","-730,724","-1,481,858",,
110,2016,국회공직자윤리위원회,경대수,국회,국회의원,고지거부 및 등록제외사항,"28,384",0,"28,384",0,,
111,2016,국회공직자윤리위원회,경대수,국회,국회의원,총계,"789,383","-554,789","-447,145","681,739",,
112,2016,국회공직자윤리위원회,권성동,국회,국회의원,토지,"4,500",0,"2,882","1,618",,
113,2016,국회공직자윤리위원회,권성동,국회,국회의원,건물,"992,000","22,000",0,"1,014,000",,
114,2016,국회공직자윤리위원회,권성동,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"49,510",0,"7,390","42,120",,
115,2016,국회공직자윤리위원회,권성동,국회,국회의원,예금,"2,083,157","972,908","1,067,427","1,988,638",,
116,2016,국회공직자윤리위원회,권성동,국회,국회의원,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,0,"266,989",0,"266,989",,
117,2016,국회공직자윤리위원회,권성동,국회,국회의원,유가증권,"21,036",0,"6,239","14,797",,
118,2016,국회공직자윤리위원회,권성동,국회,국회의원,채권,"10,000",0,0,"10,000",,
119,2016,국회공직자윤리위원회,권성동,국회,국회의원,채무,"-21,785",0,"-15,910","-5,875",,
120,2016,국회공직자윤리위원회,권성동,국회,국회의원,회원권,"119,000",0,"6,900","112,100",,
121,2016,국회공직자윤리위원회,권성동,국회,국회의원,고지거부 및 등록제외사항,0,0,0,0,,
122,2016,국회공직자윤리위원회,권성동,국회,국회의원,총계,"3,257,418","1,261,897","1,074,928","3,444,387",,
123,2016,국회공직자윤리위원회,권은희,국회,국회의원,토지,243,10,0,253,,
124,2016,국회공직자윤리위원회,권은희,국회,국회의원,건물,"416,000","7,000",0,"423,000",,
125,2016,국회공직자윤리위원회,권은희,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"2,000",0,500,"1,500",,
126,2016,국회공직자윤리위원회,권은희,국회,국회의원,예금,"1,136,917","424,593","439,408","1,122,102",,
127,2016,국회공직자윤리위원회,권은희,국회,국회의원,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,0,"52,479",0,"52,479",,
128,2016,국회공직자윤리위원회,권은희,국회,국회의원,채무,"-5,132","-16,503","-5,132","-16,503",,
129,2016,국회공직자윤리위원회,권은희,국회,국회의원,회원권,"17,078",0,0,"17,078",,
130,2016,국회공직자윤리위원회,권은희,국회,국회의원,고지거부 및 등록제외사항,0,0,0,0,,
131,2016,국회공직자윤리위원회,권은희,국회,국회의원,총계,"1,567,106","467,579","434,776","1,599,909",,
132,2016,국회공직자윤리위원회,권은희,국회,국회의원,건물,"1,239,776","1,249,109","35,000","2,453,885",,
133,2016,국회공직자윤리위원회,권은희,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"15,760","17,000","1,290","31,470",,
134,2016,국회공직자윤리위원회,권은희,국회,국회의원,예금,"42,232","66,237","32,957","75,512",,
135,2016,국회공직자윤리위원회,권은희,국회,국회의원,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,0,"12,762",0,"12,762",,
136,2016,국회공직자윤리위원회,권은희,국회,국회의원,유가증권,"140,000",0,0,"140,000",,
137,2016,국회공직자윤리위원회,권은희,국회,국회의원,채무,"-711,758","-775,000","-33,457","-1,453,301",,
138,2016,국회공직자윤리위원회,권은희,국회,국회의원,총계,"726,010","570,108","35,790","1,260,328",,
139,2016,국회공직자윤리위원회,길정우,국회,국회의원,토지,"426,110","34,806",0,"460,916",,
140,2016,국회공직자윤리위원회,길정우,국회,국회의원,건물,"780,762","6,934",0,"787,696",,
141,2016,국회공직자윤리위원회,길정우,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"30,310","1,810","7,860","24,260",,
142,2016,국회공직자윤리위원회,길정우,국회,국회의원,예금,"191,206","57,819","82,767","166,258",,
143,2016,국회공직자윤리위원회,길정우,국회,국회의원,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,0,"73,023",0,"73,023",,
144,2016,국회공직자윤리위원회,길정우,국회,국회의원,유가증권,"398,570",520,520,"398,570",,
145,2016,국회공직자윤리위원회,길정우,국회,국회의원,채권,0,"190,000",0,"190,000",,
146,2016,국회공직자윤리위원회,길정우,국회,국회의원,채무,"-155,544","-191,083","-4,514","-342,113",,
147,2016,국회공직자윤리위원회,길정우,국회,국회의원,고지거부 및 등록제외사항,0,0,0,0,,
148,2016,국회공직자윤리위원회,길정우,국회,국회의원,총계,"1,671,414","173,829","86,633","1,758,610",,
149,2016,국회공직자윤리위원회,김경협,국회,국회의원,토지,"26,010","1,269",0,"27,279",,
150,2016,국회공직자윤리위원회,김경협,국회,국회의원,건물,"403,500","3,000","38,500","368,000",,
151,2016,국회공직자윤리위원회,김경협,국회,국회의원,예금,"234,812","69,768","34,338","270,242",,
152,2016,국회공직자윤리위원회,김경협,국회,국회의원,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,0,"59,318",0,"59,318",,
153,2016,국회공직자윤리위원회,김경협,국회,국회의원,유가증권,"57,228","11,460","18,188","50,500",,
154,2016,국회공직자윤리위원회,김경협,국회,국회의원,채무,"-247,500","-9,000","-91,500","-165,000",,
155,2016,국회공직자윤리위원회,김경협,국회,국회의원,총계,"474,050","135,815",-474,"610,339",,
156,2016,국회공직자윤리위원회,김관영,국회,국회의원,토지,0,"342,701",0,"342,701",,
157,2016,국회공직자윤리위원회,김관영,국회,국회의원,건물,"1,401,900","165,244","477,900","1,089,244",,
158,2016,국회공직자윤리위원회,김관영,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"35,530","21,875","18,875","38,530",,
159,2016,국회공직자윤리위원회,김관영,국회,국회의원,예금,"415,789","82,460","120,117","378,132",,
160,2016,국회공직자윤리위원회,김관영,국회,국회의원,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,0,"16,404",0,"16,404",,
161,2016,국회공직자윤리위원회,김관영,국회,국회의원,채권,"50,000","40,000",0,"90,000",,
162,2016,국회공직자윤리위원회,김관영,국회,국회의원,채무,"-842,506","-250,744","-688,689","-404,561",,
163,2016,국회공직자윤리위원회,김관영,국회,국회의원,총계,"1,060,713","417,940","-71,797","1,550,450",,
164,2016,국회공직자윤리위원회,김광림,국회,국회의원,토지,"150,485","6,332",0,"156,817",,
165,2016,국회공직자윤리위원회,김광림,국회,국회의원,건물,"3,714,983","2,023,076","486,198","5,251,861",,
166,2016,국회공직자윤리위원회,김광림,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"26,030","24,000","3,430","46,600",,
167,2016,국회공직자윤리위원회,김광림,국회,국회의원,예금,"2,091,722","327,158","1,396,643","1,022,237",,
168,2016,국회공직자윤리위원회,김광림,국회,국회의원,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,0,"22,263",0,"22,263",,
169,2016,국회공직자윤리위원회,김광림,국회,국회의원,유가증권,8,10,0,18,,
170,2016,국회공직자윤리위원회,김광림,국회,국회의원,채권,"120,000","3,770,000",0,"3,890,000",,
171,2016,국회공직자윤리위원회,김광림,국회,국회의원,채무,"-310,000","-4,200,000","-70,000","-4,440,000",,
172,2016,국회공직자윤리위원회,김광림,국회,국회의원,총계,"5,793,228","1,972,839","1,816,271","5,949,796",,
173,2016,국회공직자윤리위원회,김광진,국회,국회의원,토지,"38,627",0,"38,627",0,,
174,2016,국회공직자윤리위원회,김광진,국회,국회의원,건물,"670,000","12,500",0,"682,500",,
175,2016,국회공직자윤리위원회,김광진,국회,국회의원,예금,"276,255","90,998","97,616","269,637",,
176,2016,국회공직자윤리위원회,김광진,국회,국회의원,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,0,"69,533",0,"69,533",,
177,2016,국회공직자윤리위원회,김광진,국회,국회의원,유가증권,"5,867",0,"3,347","2,520",,
178,2016,국회공직자윤리위원회,김광진,국회,국회의원,채권,0,"90,000",0,"90,000",,
